#language	level	mode	problem	answer	answer pic	answer sound	answer sound duration	wrong answer 1	wrong answer 1 pic	wrong answer 1 sound	wrong answer 1 sound duration	wrong answer 2	wrong answer 2 pic	wrong answer 2 sound	wrong answer 2 sound duration
ms-MY	1	ChooseSentense	1	Sebiji mangga kuning.	l1_mango.png	sebijimanggakuning.m4a		Seekor burung kuning.	l1_bird.png	seekorburungkuning.m4a		Sebuah kasut kuning.	l1_shoe.png	sebuahkasutkuning.m4a	
ms-MY	1	ChooseSentense	2	Dua ekor singa.	l1_2lions.png	duaekorsinga.m4a		Tiga ekor burung.	l1_3birds.png	tigaekorburung.m4a		Empat ekor katak.	l1_4frogs.png	empatekorkatak.m4a	
ms-MY	1	ChooseSentense	3	Seorang budak lelaki tinggi.	l1_tallboy.png	seorangbudaklelakitinggi.m4a		Seorang budak perempuan tinggi.	l1_tallgirl.png	seorangbudakperempuantinggi.m4a		Seorang budak lelaki rendah.	l1_shortboy.png	seorangbudaklelakirendah.m4a
ms-MY	1	ChoosePicture	4	Seekor kucing kecil.	l1_littlecat.png	seekorkucingkecil.m4a		Seekor tikus kecil.	l1_littlemouse.png	seekortikuskecil.m4a		Seekor semut kecil.	l1_littleant.png	seekorsemutkecil.m4a	
ms-MY	1	ChoosePicture	5	Sebuah topi oren.	l1_orangehat.png	sebuahtopioren.m4a		Sehelai baju oren.	l1_orangeshirt.png	sehelaibajuoren.m4a		Sehelai gaun oren.	l1_orangedress.png	sehelaigaunoren.m4a	
ms-MY	2	ChooseSentense	1	Sebiji bola merah.	l2_redball.png	sebijibolamerah.m4a		Sebiji bola biru.	l2_blueball.png	sebijibolabiru.m4a		Sebiji bola kuning.	l2_yellowball.png	sebijibolakuning.m4a	
ms-MY	2	ChooseSentense	2	Sebuah buku hijau.	l2_greenbook.png	sebuahbukuhijau.m4a		Sebuah buku merah jambu.	l2_pinkbook.png	sebuahbukumerahjambu.m4a		Sebuah buku hitam.	l2_blackbook.png	sebuahbukuhitam.m4a	
ms-MY	2	ChoosePicture	3	Seekor beruang perang.	l2_brownbear.png	seekorberuangperang.m4a		Seekor beruang hitam.	l2_blackbear.png	seekorberuanghitam.m4a		Seekor beruang putih.	l2_whitebear.png	seekorberuangputih.m4a	
ms-MY	2	ChoosePicture	4	Satu bulatan ungu.	l2_purplecircle.png	satubulatanungu.m4a		Satu bintang hijau.	l2_greenstar.png	satubintanghijau.m4a		Satu segi empat ungu.	l3_purplesquare.png	satusegiempatungu.m4a	
ms-MY	2	ChoosePicture	5	Belon merah jambu.	l2_pinkballoons.png	belonmerahjambu.m4a		Belon biru.	l2_blueballoons.png	belonbiru.m4a		Belon kuning.	l2_yellowballoons.png	belonkuning.m4a	
ms-MY	3	ChoosePicture	1	Tiga buah kereta.	l3_3cars.png	tigabuahkereta.m4a		Dua buah kereta.	l3_2cars.png	duabuahkereta.m4a		Sebuah kereta.	l3_Car.png	sebuahkereta.m4a	
ms-MY	3	ChoosePicture	2	Dua buah baldi.	l3_2pails.png	duabuahbaldi.m4a		Empat buah baldi.	l3_4pails.png	empatbuahbaldi.m4a		Tiga buah baldi.	l3_3pails.png	tigabuahbaldi.m4a	
ms-MY	3	ChooseSentense	3	Seorang budak lelaki.	l3_1boy.png	seorangbudaklelaki.m4a		Dua orang budak lelaki.	l3_2boys.png	duaorangbudaklelaki.m4a		Seorang budak perempuan.	l3_1girl.png	seorangbudakperempuan.m4a	
ms-MY	3	ChooseSentense	4	Empat biji bola.	l3_4balls.png	empatbijibola.m4a		Tiga biji bola.	l3_3balls.png	tigabijibola.m4a		Lima biji bola.	l3_5balls.png	limabijibola.m4a	
ms-MY	3	ChooseSentense	5	Lima ekor semut.	l3_5ants.png	limaekorsemut.m4a		Dua ekor semut.	l3_2ants.png	duaekorsemut.m4a		Empat ekor semut.	l3_4ants.png	empatekorsemut.m4a	
ms-MY	4	ChooseSentense	1	Seekor anjing dan seekor kucing.	l4_dogcat.png	seekoranjingdanseekorkucing.m4a		Seekor anjing dan seekor burung.	l4_dogbird.png	seekoranjingdanseekorburung.m4a		Seekor kucing dan seekor burung.	l4_catbird.png	seekorkucingdanseekorburung.m4a	
ms-MY	4	ChooseSentense	2	Dua biji lemon dan sebiji tomato.	l4_2lemons1tomato.png	duabijilemondansebijitomato.m4a		Sebiji lemon dan dua biji tomato.	l4_1lime2tomatos.png	sebijilemondanduabijitomato.m4a		Dua biji lemon dan dua biji tomato.	l4_2lemons2tomatos.png	duabijilemondanduabijitomato.m4a	
ms-MY	4	ChoosePicture	3	Tiga bulatan dan satu segi empat.	l4_3circles1square.png	tigabulatandansatusegiempat.m4a		Dua bulatan dan dua segi empat.	l4_2circles2squares.png	duabulatandanduasegiempat.m4a		Tiga segi empat dan satu bulatan.	l4_1circle3squares.png	tigasegiempatdansatubulatan.m4a	
ms-MY	4	ChoosePicture	4	Seorang budak lelaki dan dua buah kerusi.	l4_1boy2chairs.png	seorangbudaklelakidanduabuahkerusi.m4a		Seorang budak lelaki dan sebuah kerusi.	l4_1boy1chair.png	seorangbudaklelakidansebuahkerusi.m4a		Dua orang budak lelaki dan sebuah kerusi.	l4_2boys1chair.png	duaorangbudaklelakidansebuahkerusi.m4a	
ms-MY	4	ChoosePicture	5	Sebatang sudu dan dua batang garpu.	l4_1spoon2forks.png	sebatangsududanduabatanggarpu.m4a		Dua batang sudu dan dua batang garpu.	l4_2spoons2forks.png	duabatangsududanduabatanggarpu.m4a		Dua batang sudu dan sebatang garpu.	l4_2spoons1fork.png	duabatangsududansebatanggarpu.m4a	
ms-MY	5	ChooseSentense	1	Dia gembira.	l5_shehappy.png	diagembira.m4a		Dia sedih.	l5_shesad.png	diasedih.m4a		Dia marah.	l5_sheangry.png	diamarah.m4a	
ms-MY	5	ChooseSentense	2	Dia sedih.	l5_hesad.png	diasedih.m4a		Dia sakit.	l5_hesick.png	diasakit.m4a		Dia teruja.	l5_heexcited.png	diateruja.m4a	
ms-MY	5	ChooseSentense	3	Budak lelaki itu tinggi.	l5_boytall.png	budaklelakiitutinggi.m4a		Budak lelaki itu rendah.	l5_boyshort.png	budaklelakiiturendah.m4a		Budak lelaki itu sakit.	l5_boysick.png	budaklelakiitusakit.m4a	
ms-MY	5	ChoosePicture	4	But ini kotor.	l5_bootsdirty.png	butinikotor.m4a		But ini bersih.	l5_bootsclean.png	butinibersih.m4a		Baju ini kotor.	l5_shirtdirty.png	bajuinikotor.m4a	
ms-MY	5	ChoosePicture	5	Cuaca cerah.	l5_sunny.png	cuacacerah.m4a		Cuaca mendung.	l5_cloudy.png	cuacamendung.m4a		Cuaca hujan.	l5_rainy.png	cuacahujan.m4a	
ms-MY	6	ChooseSentense	1	Dia seorang guru.	l6_heteacher.png	diaseorangguru.m4a		Dia seorang doktor.	l6_sheteacher.png	diaseorangdoktor.m4a		Dia seorang polis.	l6_hedoctor.png	diaseorangpolis.m4a	
ms-MY	6	ChooseSentense	2	Dia seorang jururawat.	l6_shenurse.png	diaseorangjururawat.m4a		Dia seorang petani.	l6_farmer.png	diaseorangpetani.m4a		Dia seorang penyanyi.	l6_shesinger.png	diaseorangpenyanyi.m4a	
ms-MY	6	ChoosePicture	3	Dia seorang tukang masak.	l6_hecook.png	diaseorangtukangmasak.m4a		Dia seorang doktor.	l6_shedoctor.png	diaseorangdoktor.m4a		Dia seorang pemandu.	l6_hedriver.png	diaseorangpemandu.m4a	
ms-MY	6	ChoosePicture	4	Itu sebiji kentang.	l6_potato.png	itusebijikentang.m4a		Itu sebiji tomato.	l6_tomato.png	itusebijitomato.m4a		Itu sebiji bawang.	l6_onion.png	itusebijibawang.m4a	
ms-MY	6	ChoosePicture	5	Ini buah anggur.	l6_grapes.png	inibuahanggur.m4a		Ini lobak merah.	l6_carrots.png	inilobakmerah.m4a		Ini pisang.	l6_bananas.png	inipisang.m4a	
ms-MY	7	ChoosePicture	1	Dia boleh melompat.	l7_shecanjump.png	diabolehmelompat.m4a		Dia boleh berenang.	l7_shecanswim.png	diabolehberenang.m4a		Dia boleh berlari.	l7_shecanrun.png	diabolehberlari.m4a	
ms-MY	7	ChoosePicture	2	Katak boleh berenang.	l7_frogcanswim.png	katakbolehberenang.m4a		Ikan boleh berenang.	l7_fishcanswim.png	ikanbolehberenang.m4a		Itik boleh berenang.	l7_duckcanswim.png	itikbolehberenang.m4a	
ms-MY	7	ChooseSentense	3	Dia boleh melukis.	l7_hecandraw.png	diabolehmelukis.m4a		Dia boleh memasak.	l7_hecancook.png	diabolehmemasak.m4a		Dia boleh memandu.	l7_hecandrive.png	diabolehmemandu.m4a	
ms-MY	7	ChooseSentense	4	Mereka boleh melompat tinggi.	l7_theyjump.png	merekabolehmelompattinggi.m4a		Mereka boleh berlari pantas.	l7_theyrun.png	merekabolehberlaripantas.m4a		Mereka boleh memasak dengan baik.	l7_theycook.png	merekabolehmemasakdenganbaik.m4a	
ms-MY	7	ChooseSentense	5	Dia boleh membina bot.	l7_hecanmake_boat.png	diabolehmembinabot.m4a		Dia boleh membina meja.	l7_hecanmake_desk.png	diabolehmembinameja.m4a		Dia boleh membina rumah.	l7_hecanmake_house.png	diabolehmembinarumah.m4a	
