									
#LanguageTag	#Level	#Worksheet	#ProblemNo	#Sentence	#SentenceSoundKeeper	#Word1	#Word2	#Word3	#Time
ms-MY	1	1	1	Rumah ini [besar].	rumahinibesar.m4a	kecil	tinggi	kotor	10
ms-MY	1	1	2	Arnab itu [kecil].	arnabitukecil.m4a	tinggi	pendek	besar	10
ms-MY	1	1	3	Baju saya [kotor].	bajusayakotor.m4a	besar	bersih	kecil	10
ms-MY	1	2	1	Amir [tinggi].	amirtinggi.m4a	pendek	besar	kecil	10
ms-MY	1	2	2	Rambut Siti [pendek].	rambutsitipendek.m4a	tinggi	kecil	bersih	10
ms-MY	1	2	3	Tangan Aini [bersih].	tanganainibersih.m4a	kotor	besar	pendek	10
ms-MY	2	1	1	Epal itu [merah].	epalitumerah.m4a	biru	hijau	kuning	10
ms-MY	2	1	2	Kasut Mei [putih].	kasutmeiputih.m4a	hijau	kuning	hitam	10
ms-MY	2	1	3	Daun itu [hijau].	bolaitukuning.m4a	biru	kuning	merah	10
ms-MY	2	2	1	Kucing itu [hitam].	kucingituhitam.m4a	biru	oren	kuning	10
ms-MY	2	2	2	Awan itu [putih].	awanituputih.m4a	biru	hijau	hitam	10
ms-MY	2	2	3	Bola itu [oren].	bolaituoren.m4a	kuning	biru	hitam	10
ms-MY	3	1	1	Ini [ibu] saya.	iniibusaya.m4a	bapa	abang	kakak	10
ms-MY	3	1	2	Ini [abang] saya.	iniabangsaya.m4a	bapa	ibu	kakak	10
ms-MY	3	1	3	[Bapa] saya petani.	bapasayapetani.m4a	abang	ibu	kakak	10
ms-MY	3	2	1	Ini [ibu] Amir.	iniibuamir.m4a	bapa	bayi	abang	10
ms-MY	3	2	2	Ini [bapa] Mei.	inibapamei.m4a	ibu	kakak	abang	10
ms-MY	3	2	3	Murid itu [adik] saya.	muridituadiksaya.m4a	ibu	bapa	abang	10
ms-MY	4	1	1	Sudu di atas [meja].	sududiatasmeja.m4a	kerusi	katil	lampu	10
ms-MY	4	1	2	Ini [meja].	inimeja.m4a	kerusi	katil	lampu	10
ms-MY	4	1	3	Ali di [bilik tidur].	alidibiliktidur.m4a	dapur	bilik air	ruang tamu	10
ms-MY	4	2	1	[Katil] di dalam bilik tidur.	katildidalambiliktidur.m4a	meja	kerusi	lampu	10
ms-MY	4	2	2	Ini [lampu].	inilampu.m4a	meja	katil	kerusi	10
ms-MY	4	2	3	Siti di [dapur].	sitididapur.m4a	bilik air	bilik tidur	ruang tamu	10
ms-MY	5	1	1	Meja di dalam [bilik].	mejadidalambilik.m4a	kelas	dapur	kedai	15
ms-MY	5	1	2	Ini [buku].	inibuku.m4a	pemadam	pensel	kertas	10
ms-MY	5	1	3	Di mana [pensel] kamu?	dimanapenselkamu.m4a	cat	kertas	meja	10
ms-MY	5	2	1	Buku di atas [meja].	bukudiatasmeja.m4a	kerusi	katil	lampu	15
ms-MY	5	2	2	Ini [pen].	inipen.m4a	meja	cat	kertas	10
ms-MY	5	2	3	Di mana [beg] kamu?	dimanabegkamu.m4a	buku	meja	gam	10
ms-MY	6	1	1	Kucing di atas [tikar].	kucingdiatastikar.m4a	burung	katak	kuda	15
ms-MY	6	1	2	Burung di [langit].	burungdilangit.m4a	lembu	anjing	kucing	15
ms-MY	6	1	3	Katak di atas [batu].	katakdiatasbatu.m4a	kucing	burung	anjing	15
ms-MY	6	2	1	Lembu di tepi [sungai].	lembuditepisungai.m4a	kambing	anjing	kucing	15
ms-MY	6	2	2	Ayam di dalam [sarang].	ayamdidalamsarang.m4a	itik	singa	zebra	15
ms-MY	6	2	3	Kambing di bawah [pokok].	kambingdibawahpokok.m4a	biri-biri	singa	katak	15
ms-MY	7	1	1	Ali [suka] tomato.	alisukatomato.m4a	mahu	beli	makan	10
ms-MY	7	1	2	Kucing [ada] empat kaki.	kucingadaempatkaki.m4a	suka	perlu	mahu	10
ms-MY	7	1	3	Saya suka [makan] lobak merah.	sayasukamakanlobakmerah.m4a	minum	beli	cuci	10
ms-MY	7	2	1	Siti dan Aini [suka] makan kentang.	sitidanainisukamakankentang.m4a	mahu	beli	makan	15
ms-MY	7	2	2	Buah mangga itu [sedap].	buahmanggaitusedap.m4a	masam	pahit	busuk	10
ms-MY	7	2	3	Mei [beli] pisang.	meibelipisang.m4a	suka	perlu	mahu	15
ms-MY	8	1	1	Ali [berlari] pantas.	aliberlaripantas.m4a	berjalan	melompat	berenang	10
ms-MY	8	1	2	Amir [melompat] tinggi.	amirmelompattinggi.m4a	berjalan	berlari	berenang	10
ms-MY	8	1	3	Kumar [berjalan] ke sekolah.	kumarberjalankesekolah.m4a	berlari	berenang	melompat	10
ms-MY	8	2	1	Devi [pandai] menari.	devipandaimenari.m4a	suka	mahu	boleh	10
ms-MY	8	2	2	Ali [berenang] di sungai.	aliberenangdisungai.m4a	berlari	berjalan	melompat	10
ms-MY	8	2	3	Mei [pandai] menyanyi.	meipandaimenyanyi.m4a	suka	mahu	boleh	10
